gene_id	gene_name	JH.2.085.F2983.F783D	JH.2.086.5EA11.494GE	JH.2.089.H8EBA.HH51C	JH.2.090.19D3F.G36F6	JH.2.091.CAA8H.GDFG1	JH.2.092.B4F11.2H1C1	JH.2.092.B52E5.BFCBA	JH.2.093.214AE.H5A8H	JH.2.094.5HA24.CC3H4	JH.2.100.19H33.94G2C	JH.2.104.51E2H.1G93A	JH.2.107.AGD39.1CH62	JH.2.111.G645D.6C5FF
ENSG00000231957.2	GNAI2P2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231961.1	ENSG00000231961	0	0	1	1	1	0	0	0	0	0	0	0	0
ENSG00000231963.1	ENSG00000231963	0	0.5	0.5	0	1	6	0	0	0	0	0	0	0.5
ENSG00000231964.1	ENSG00000231964	0	0	0	0	0	2	0	0	0	0	0	0	1
ENSG00000231965.4	ENSG00000231965	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000231966.1	LINC02818	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000231967.1	ENSG00000231967	0	1	0	1	1	1	0	1	0	0	0	1	2
ENSG00000231969.3	MMADHC-DT	40	46	89	26	143	121	124	34	53	120.999	110	84	74
ENSG00000231970.1	ENSG00000231970	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000231971.6	CT69	2	0	0	1	0	1	0	4	1	0	0	0	0
ENSG00000231976.8	FAM238B	0	0	0	1	0	0	0	0	0	0	0	0	1.232
ENSG00000231977.2	ENSG00000231977	0	2	0	0	0	2	0	0	1	3	2	0	0
ENSG00000231978.2	ENSG00000231978	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231979.1	ENSG00000231979	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231980.1	ENSG00000231980	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231981.3	RPL7L1P12	9	5	8	7	4	11	13	13	9	1	6	9	4
ENSG00000231982.1	ENSG00000231982	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231983.1	LINC00415	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000231984.1	ENSG00000231984	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231985.1	ENSG00000231985	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231986.1	ENSG00000231986	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231987.1	LINC01787	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231988.1	OFD1P3Y	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231989.5	PPP1R2B	0	0	1.004	0	3.016	1.007	1.025	2.007	2.024	3.057	2.014	2.013	2.02
ENSG00000231990.2	ENSG00000231990	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231991.4	ANXA2P2	9.045	18.156	1.006	12.629	10.713	16.096	9.424	22.393	19.39	15.297	3.011	14.085	5.048
ENSG00000231992.1	ENSG00000231992	0	0	0	1	0	0	0	0	1	0	2	0	0
ENSG00000231993.1	EP300-AS1	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000231995.2	ENSG00000231995	0	19.489	8.005	6.467	13.196	9.289	10.987	21.679	23.198	9.387	0	10.525	3.378
ENSG00000231996.1	ENSG00000231996	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231999.8	LRRC8C-DT	72	455	138	77	158.948	205	245.001	66.001	141.998	76	235.999	114	174.001
ENSG00000232000.3	CLCN3P1	78.956	131.895	137.008	25.006	49.953	137.244	153.741	92.446	370.643	41.203	31.246	54.532	210.471
ENSG00000232001.2	ENSG00000232001	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232002.2	LINC01880	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232003.2	ZNF736P12Y	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232004.1	CAP1P2	0	1	0	0	2	3	3	0	3	1	2.001	4	1
ENSG00000232006.9	ENSG00000232006	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000232009.1	ENSG00000232009	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232010.1	DNMT3L-AS1	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSG00000232015.2	HSPE1P25	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000232019.1	ENSG00000232019	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232021.8	LEF1-AS1	51	17.999	29.999	65	16.001	15	34	8	28	20	27.999	40.999	17
ENSG00000232022.8	FAAHP1	0	1	0	1	2	2	1	3	1	0	5	0	1
ENSG00000232023.3	LINC01807	0	5	0	1	0	0	5	0	3	0	0	1	0
ENSG00000232024.2	LSM12P1	0	1.03	0	0	2.115	0	0	1.136	0	0	2.114	0	0
ENSG00000232027.2	ENSG00000232027	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232028.1	PRKD3-DT	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000232029.1	ELOCP15	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232030.3	MAGEB6B	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232031.1	ENSG00000232031	0	0	0	1	0	2	0	2	1	1	0	1	2
ENSG00000232032.1	ENSG00000232032	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSG00000232034.1	ENSG00000232034	2	6	8	3	1	3	3	13	2	6	8	3	4
ENSG00000232035.1	ENSG00000232035	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232036.2	ENSG00000232036	32	39	25	23	40	93	76	70	46	9	27	15	17
ENSG00000232037.3	ENSG00000232037	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000232039.2	DEFT1P2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232040.4	ZBED9	0	0	1	1	0	0	0	0	0	0	5	1	1
ENSG00000232041.1	PSMD10P3	0	1	0	1	0	0	0	1	1	0	1	0	1
ENSG00000232042.1	ENSG00000232042	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000232043.1	ENSG00000232043	1	2	0	0	0	0	0	3	0	1	0	0	0
ENSG00000232044.8	SILC1	5	24.001	0	63.001	0	2	2	0	58.999	0	3	0	3
ENSG00000232046.7	LINC01798	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232048.2	HNRNPCP9	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232050.1	ENSG00000232050	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232053.7	ENSG00000232053	1	11	1	4	16	11	10	6	33.001	7	10	6	3
ENSG00000232054.1	NPM1P34	0	0	0	0	0	0	0	0	0	0	1.004	0	0
ENSG00000232056.1	ENSG00000232056	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232057.1	ENSG00000232057	0	2	0	1	0	0	0	0	1	1	0	0	0
ENSG00000232058.1	ENSG00000232058	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232059.3	ENSG00000232059	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000232060.3	SLC4A1APP1	1	0	1.062	1	0	0	0	0	0	0	0	0	0
ENSG00000232063.2	ENSG00000232063	17	37.276	50.075	19	30	23	21	19.05	52	29	22	34	21
ENSG00000232064.1	USP9YP33	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232065.2	LINC01063	2	1	0	1	0	0	0	0	0	1	3	1	1
ENSG00000232068.1	ENSG00000232068	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000232069.1	RPS29P28	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232070.9	TMEM253	2	2	5	1	2	1	4	4	2	5	2	8	3
ENSG00000232072.1	ENSG00000232072	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232073.1	ENSG00000232073	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232075.1	MRPL35P2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232077.2	LINC01031	2	0	1	2	0	0	3	1	2	1	1	1	3
ENSG00000232079.7	LINC01697	0	93.999	3	39	0	1	70	26	0	4	1	0	0
ENSG00000232080.5	ENSG00000232080	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232081.1	LARGE-IT1	3	3	2	1	4	3	1	1	4	4	4	4	3
ENSG00000232082.1	RPS6KA2-IT1	2	1	0	0	2	1	0	1	0	1	1	1	0
ENSG00000232083.3	RPL31P7	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232084.5	LINC01104	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232085.1	ENSG00000232085	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232086.1	ENSG00000232086	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0
ENSG00000232087.1	HCFC2P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232089.1	ENSG00000232089	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232090.2	POLR2DP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232091.1	PNLIPP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232093.1	DCST1-AS1	2	3	1	3	4	0	1	5	3	2	1	0	4
ENSG00000232096.1	YPEL5P1	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000232097.1	ENSG00000232097	4	3	4	1	9	2	1	3	1	6	1	4	1
ENSG00000232098.3	ENSG00000232098	60	52.356	38.379	38.285	88.939	70.751	45	54	90.969	55	43.948	25.96	50.943
ENSG00000232100.1	LINC01653	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232101.1	ENSG00000232101	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232102.1	MTCO3P2	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232104.4	RFX3-DT	18	42	25	49	28.001	38	43.999	26	29	34	27	39	21
ENSG00000232105.1	RPL32P28	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232109.1	VN1R54P	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232110.9	ENSG00000232110	0	2	0	1	1	0	1	2	1	0	0	1	0
ENSG00000232111.2	ENSG00000232111	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232112.3	TMA7	405.979	465	266	527	340	327	320	241.001	516	313.987	301	619	382
ENSG00000232113.3	TEX50	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232114.1	NPLP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232115.1	ENSG00000232115	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232117.2	LINC00384	11	20	7	0	15	11	5	9	10	11	8	3	9
ENSG00000232118.2	BACH1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232119.8	MCTS1	165.001	301.999	266	335	277	287	329	206	337.645	165.001	281	256.001	329.999
ENSG00000232120.1	ENSG00000232120	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232121.1	ENSG00000232121	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232124.3	ENSG00000232124	1	4	1	9	3	0	0	0	2	1	1	5	0
ENSG00000232125.5	DYTN	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232128.1	MTCO3P45	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232130.1	ENSG00000232130	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232131.1	NCOA7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232132.1	NDFIP2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232133.1	IMPDH1P10	0	0	0	2	1	0	1	2	0	0	0	2	0
ENSG00000232134.1	RPS15AP12	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000232135.1	ENSG00000232135	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232136.2	DUXAP7	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232138.1	IFNWP5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232139.6	LINC00867	1	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000232140.2	ENSG00000232140	5	3	2	0	1	3	3	4	4	1	6	11	0
ENSG00000232142.1	RPS25P9	0	1	1	3	4	1	0	1	0	0	2	2	0
ENSG00000232144.1	PSAT1P2	0	0	0	0	0	0	0	0	3	0	0	2	0
ENSG00000232145.1	ENSG00000232145	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232148.1	FMO11P	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232149.1	FERP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232150.3	ST13P4	0	2.001	1.05	0	1.177	0	1	2	0	1	1	1	1
ENSG00000232153.3	ENSG00000232153	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232154.2	MTCYBP15	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232155.1	ENSG00000232155	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232158.1	C11orf98P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232159.3	RAB9BP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232160.7	RAP2C-AS1	43	93	57	31	74	64	64	40	75	44	65	61	74
ENSG00000232161.1	ENSG00000232161	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232162.1	USP12-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232163.2	RPLP1P13	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232164.1	LINC01873	3	4	5	5	10	1	3	2	1	6	9	7.804	8
ENSG00000232165.1	ENSG00000232165	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232166.1	ENSG00000232166	0	2	1	1	1	1	1	0	0	1	0	0	0
ENSG00000232167.1	ENSG00000232167	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232168.2	P2RY10BP	0	0	0	1	0	0	0	0	0	0	0	2	0
ENSG00000232170.6	LINC00708	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232172.1	ENSG00000232172	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232173.2	OR2H5P	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232174.3	ENSG00000232174	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232175.1	ENSG00000232175	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232176.1	ENSG00000232176	1	2	2	0	0	2	3	0	3	2	1	1	5
ENSG00000232177.1	MTND4P24	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000232179.1	MTATP6P29	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232183.1	ENSG00000232183	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232184.1	ENSG00000232184	0	3	3	0	0	1	0	0	0	0	3	0	0
ENSG00000232185.1	CNOT7P2	1	0	1	0	1	0	0	0	2	0	0	0	0
ENSG00000232186.1	TERF1P7	0	0	0	0	2	1	0	0	1.003	1	0	0	0
ENSG00000232187.1	FTH1P7	2.004	0	1.087	0	3.011	0	0	0	2.865	2.757	3.598	2.031	6.027
ENSG00000232188.1	ENSG00000232188	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232190.3	LINC02181	1	0	2	0	1	1	0	0	0	0	0	0	0
ENSG00000232192.1	KIF26B-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232193.1	ENSG00000232193	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232194.1	ENSG00000232194	0	1	0	0	3	0	0	1	0	0	0	0	0
ENSG00000232195.1	TOMM22P2	1	2	0	0	0	0	0	4	0	0	0	2	0
ENSG00000232196.4	MTRNR2L4	0	0	0	1	1	0	0	0	1	0	1	0	0
ENSG00000232197.3	ENSG00000232197	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232198.2	MTCO2P34	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232199.1	RPL3P8	0	1	0	0	0	0	0	0	1	2	1	1	2
ENSG00000232200.2	ENSG00000232200	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232202.1	CHORDC1P1	1	2	0	1	0	0	0	0	1	0	0	1	0
ENSG00000232203.3	SLC25A6P2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232204.1	TET1P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232205.1	CDY18P	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232208.2	ENSG00000232208	0	0	0	4	1	0	0	0	1	0	0	0	1
ENSG00000232211.1	ENSG00000232211	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232212.1	LINC01701	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232215.2	OR2L6P	0	0	0	0	1	0	0	0	2	5	1	1	3
ENSG00000232216.1	IGHV3-43	1	0	0	236.861	0	0	0	20.941	0	0	1	0	0
ENSG00000232217.1	FTLP8	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232218.1	ENSG00000232218	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232220.2	ENSG00000232220	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232223.1	CNN2P10	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232225.6	LINC01047	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232226.2	ARSFP1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000232227.5	ENSG00000232227	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232228.1	RPL36AP16	3	3	7	5.003	11	4	3	2	7	6	8	6	4
ENSG00000232229.7	LINC00865	51	100	43	101	58	33	31	6	145	61	46	30	31
ENSG00000232230.1	TPM4P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232233.1	LINC02043	0	2.056	1.061	1.061	1.061	5.111	1	0	2.031	2	1.052	1.04	2.057
ENSG00000232234.4	ENSG00000232234	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232235.1	CDY3P	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232237.5	ASCL5	0	0	0	0	1	0	1	0	0	0	2	0	0
ENSG00000232238.1	RPS29P8	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232239.2	RBPJP5	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000232240.2	ENSG00000232240	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232241.1	DYNLT3P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232242.2	ZYG11AP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232245.1	ENSG00000232245	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232249.1	ENSG00000232249	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232252.1	ENSG00000232252	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232254.1	CSF2RBP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232258.7	TMEM114	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000232259.1	ENSG00000232259	0	0	0	0	0	1	1	0	2	2	1	3	1
ENSG00000232260.2	BTF3L4P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232261.1	ENSG00000232261	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232263.1	KRTAP25-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232264.5	USP17L24	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232265.8	LINC02805	0	1	0	2	1	2	2	2	0	0	0	1	2
ENSG00000232267.1	ACTR3P2	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000232268.7	OR52I1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232271.1	ENSG00000232271	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232273.1	FTH1P1	0	0	0	0	0	0	1	0	0	0	0	0	2
ENSG00000232277.1	SLC30A6P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232281.2	IFNWP15	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232282.1	MTND1P32	3	6	5	4	8	8	8	5	7	5	7	9	10
ENSG00000232283.1	HSD17B3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232284.8	GNG12-AS1	4	4	0	2	2	3	3	1	4	2	4	6	5
ENSG00000232285.1	ELOBP3	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000232286.1	ENSG00000232286	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000232287.2	SLC6A1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232290.1	ENSG00000232290	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232292.1	ALDH7A1P2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232293.2	PAICSP7	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232294.6	ENSG00000232294	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000232295.7	ENSG00000232295	4	15	16	9	32	8	20	5	10	23	24	18	19
ENSG00000232296.1	ENSG00000232296	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232298.2	GRHL3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000232299.1	ENSG00000232299	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232300.1	FAM215B	23	38	54	29	67	27	12	37	81	39	41	17	61
ENSG00000232301.3	LNCPRESS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232303.2	DFFBP1	13	13	12	16	9	7	5	9	6	7	6	9	7
ENSG00000232305.1	CLCP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232306.2	ENSG00000232306	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000232307.1	DAOA-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232309.2	ENSG00000232309	0	0	0	0	0	1	0	2	0	0	0	0	0
ENSG00000232310.9	ENSG00000232310	5	12	3	4	8	2	9	8	1	4	8	10.001	4
ENSG00000232314.1	PSMC1P13	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232316.2	LINC02518	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000232320.6	MXRA7P1	1.144	7.144	1.14	0	1.072	1.088	0	1.178	2.332	0	3.749	0	0
ENSG00000232325.4	ENSG00000232325	1	0	1	0	0	0	0	0	2	0	0	0	0
ENSG00000232327.4	ENSG00000232327	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232328.3	ENSG00000232328	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232332.1	ARL5AP5	1	0	1	1	0	1	1	0	0	0	0	2	2
ENSG00000232333.1	RPS27AP2	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000232334.1	ENSG00000232334	2	1	4	13	7	0	1	8	6	5	5	7	5
ENSG00000232335.1	ENSG00000232335	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000232337.1	ENSG00000232337	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000232341.2	RPL4P2	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000232342.7	ENSG00000232342	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232344.2	ENSG00000232344	3	0	2	0	1	2	0	0	0	1	1	0	2
ENSG00000232346.1	ENSG00000232346	1	0	2.004	3.003	1.006	2.001	0	10.006	2.001	0	5.003	12.008	9.011
ENSG00000232347.1	ENSG00000232347	0	1.066	1.097	3.313	1.094	0	0	1.12	1.119	1.061	1.115	2.326	0
ENSG00000232349.2	YBX1P7	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232350.1	ENSG00000232350	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232352.2	SEMA3B-AS1	3	0	0	0	2	2	0	0	4	2	4	4	1
ENSG00000232353.5	ENSG00000232353	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232354.8	VIPR1-AS1	0	0	1	0	0	0	0	1	2	0	0	1	2
ENSG00000232355.2	ENSG00000232355	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232358.1	ENSG00000232358	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232359.1	ENSG00000232359	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000232360.1	ENSG00000232360	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232361.3	ENSG00000232361	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232362.1	ATP5MGP2	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000232363.1	ENSG00000232363	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000232366.1	VDAC1P9	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232368.1	FTLP2	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000232369.1	PPIAP35	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232370.1	BAG1P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232373.2	MTCYBP3	0	6	2	0	6	3	3	11	5	5	15	1	3
ENSG00000232374.5	GPR79	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000232375.1	ENSG00000232375	2	1	1	0	0	1	0	0	1	0	0	1	2
ENSG00000232377.1	ENSG00000232377	2	1	1	1	5	8	6	0	1	10	2	3	5
ENSG00000232378.1	RPL29P28	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232379.1	RPL22P23	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232380.1	ZDHHC20P4	0	0	0	0	0	3	1	0	0	0	2	2.011	0
ENSG00000232381.1	OR52U1P	0	3	6	5	12	2	2	2	5	0	4	7	3
ENSG00000232382.2	OR5K1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232383.1	ENSG00000232383	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232385.2	RPS3AP25	1.002	1.069	2.004	1.001	2.004	1.001	0	0	1.019	1.001	1.002	1.012	0
ENSG00000232386.9	ENSG00000232386	2	0	4	4.32	7	4.461	6	3	1	8.343	5.331	1.319	11.731
ENSG00000232387.2	SKA2P1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000232388.5	SMIM26	97.459	180.508	62.663	127.414	75.894	116	100.788	53.893	170.67	78.622	83.005	178.251	99.441
ENSG00000232389.1	ENSG00000232389	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000232390.3	NDUFA5P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232391.1	RANP2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232392.1	GOT2P7	25	11	9	13	9	10	8	11	11	13	7	11	16
ENSG00000232393.1	RPL5P6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232394.1	ENSG00000232394	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232395.1	ENSG00000232395	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232396.2	CABP7-DT	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000232398.1	TMPRSS11CP	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232399.4	USP17L13	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232400.1	RAD17P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232401.2	LINC00112	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232403.1	RPL27P5	1	0	0	0	0	0	0	0	0	0	0	0	0
